% Duomenys apie naudotu masinu pardavimus prekybos firmoje:
%   kaina - faktine sandorio kaina
%   rida - masinos nuvaziuotas kilometrazas
%   amzius - masinos amzius pardavimo momentu. Jei amzius virsyje 20, tai pateikiamas ne amzius, bet zymuo '>20'
%   galia - masinos variklio galia
%   markesKodas - masinos markes kodas
%   dingusios reiksmes zymimos MISSING zymeniu
"kaina";"rida";"amzius";"galia";"markesKodas"
14109.4;547590.168757854;"4";55;"bm"
19467;398660.180520109;"11";45;"ky"
8028.7;678426.733683197;"13";75;"qt"
17531.5;704875.441216874;"9";65;"ky"
10295.9;429668.621172217;"12";55;"bm"
17514.3;381409.883008133;"13";45;"ky"
9511.1;475676.190484087;"13";65;"qt"
19072.4;442675.61453173;"12";65;"ky"
9137.7;568807.104890909;"11";55;"qt"
8659.8;514468.543188832;"10";45;"bm"
20997.2;333774.051795208;"10";75;"ky"
12275.3;419480.782930113;"7";55;"bm"
10006.6;284973.103689057;"10";75;"qt"
17033.3;496805.281422627;"11";55;"ky"
9027.6;482748.358053089;"11";55;"bm"
16622.9;753426.833926158;"16";45;"ky"
10480.4;389239.187013945;"11";55;"qt"
9873.6;355603.700070075;"12";55;"qt"
8706;291882.518858951;"12";75;"qt"
10979.8;357399.856766471;"10";55;"qt"
22622.8;227101.721573544;"5";45;"ky"
2466.5;1436010.97952486;">20";65;"bm"
7539.5;520361.696883296;"13";75;"qt"
16042.9;741854.051526594;"12";55;"ky"
16217.2;174224.57120235;"4";45;"qt"
13602.2;315955.845935491;"8";45;"qt"
7517.3;508125.739498929;"14";75;"qt"
8128.5;476515.047335447;"9";75;"bm"
8704.5;384415.815112209;"13";55;"bm"
5843.9;791326.292645076;"16";65;"bm"
10461.3;353810.324922253;"9";55;"bm"
9378.8;512126.083098138;"7";45;"bm"
17318.7;602028.700250427;"11";45;"ky"
16358;403068.337974794;"3";65;"bm"
19496.1;422265.149884957;"9";55;"ky"
8929.5;540679.935872825;"9";75;"qt"
16335.8;353097.605459849;"4";55;"qt"
18450.4;624409.539070093;"9";45;"ky"
16495.5;343609.273882379;"3";75;"qt"
18626.4;454900.737199798;"16";55;"ky"
12912.8;256445.614223345;"8";75;"bm"
5651.7;749656.115997798;"14";55;"bm"
11490.1;247094.087992622;"14";65;"qt"
10635;393170.166300679;"13";65;"bm"
13507.6;378481.355722637;"5";65;"qt"
23791.7;345381.231919633;"2";55;"bm"
16267.4;582466.978607283;"11";55;"ky"
15735.7;739912.184667667;"13";55;"ky"
6433.9;713381.299475228;"11";75;"qt"
18732.7;337078.375999522;"3";65;"qt"
10907.4;350420.344039284;"11";55;"qt"
10672.9;394574.36605984;"14";55;"bm"
18755;472998.448483418;"10";45;"ky"
10760.7;290152.742733826;"9";65;"bm"
21080.6;328973.110050348;"9";65;"ky"
21743.1;431948.192852473;"6";65;"ky"
16470.5;563572.303962838;"13";55;"ky"
8630.1;528324.200553521;"13";45;"bm"
20276.7;183391.553351716;"11";55;"ky"
5861.1;691393.852700586;"13";55;"qt"
7403.5;552198.030201601;"13";45;"bm"
16082.4;782181.030596491;"12";55;"ky"
9048.7;358413.660907547;"12";45;"qt"
10319.2;426391.709658603;"12";75;"qt"
12495.4;236041.906733217;"5";65;"qt"
18743.9;305362.736957914;"11";45;"ky"
9733.4;429329.891540811;"10";75;"bm"
11069;224477.040496101;"12";55;"qt"
8345.3;596461.202079886;"13";55;"qt"
10452.8;438686.203299664;"9";75;"qt"
10645.4;484379.287936676;"11";65;"qt"
8249.8;418273.392832269;"10";75;"bm"
18464.3;360475.958531806;"15";45;"ky"
16164.1;387253.68326126;"3";45;"qt"
21010.5;401899.325363205;"10";65;"ky"
17733.6;422355.359282565;"12";65;"ky"
14269.4;367864.683937462;"4";55;"qt"
7099.9;587555.656219316;"14";75;"bm"
18526.7;383741.642719118;"12";45;"ky"
9091.6;490586.536778697;"14";55;"qt"
9684.2;428297.997105362;"11";75;"qt"
18962.2;461308.18499282;"12";45;"ky"
18528.9;458984.182083106;"11";65;"ky"
16773.1;301115.006684032;"3";55;"bm"
8932.9;427738.778437203;"10";75;"bm"
8512.3;569468.877764556;"9";65;"qt"
14309.4;359304.153634158;"4";65;"qt"
16969.9;562358.246987863;"13";55;"ky"
21846.4;415390.299432531;"9";65;"ky"
11310.2;268897.663017775;"11";75;"bm"
17675.8;541940.939619533;"10";45;"ky"
7558.4;529642.61507576;MISSING;45;"qt"
16791.3;320359.752393915;"3";45;"bm"
6849.5;566201.342074551;"11";65;"qt"
33159.5;394992.583155101;"2";45;"ky"
27616.8;327581.120823914;"3";75;"ky"
15792.7;552891.487422373;"11";55;"ky"
11984.3;429925.43263801;"5";55;"qt"
7990;658679.229337091;"11";65;"qt"
19012.9;390816.187905286;"15";55;"ky"
10590.3;450835.182703841;"5";65;"bm"
26540.5;378477.083619534;"3";65;"ky"
11380.5;329796.619224419;"12";65;"bm"
16435.9;696384.528663345;"14";45;"ky"
18061;555062.626189772;"18";55;"ky"
11894.4;393161.708820505;"4";45;"qt"
9292.1;356694.528322613;"15";55;"bm"
7427.2;626729.265705497;"11";75;"bm"
9409.2;512582.527765486;"11";65;"qt"
16834.8;579486.800445623;"10";55;"ky"
13534.2;361234.090453773;"5";55;"bm"
19199.1;467117.070577494;"11";55;"ky"
7356.2;537929.947903653;"13";55;"qt"
5391.5;815933.907087455;"14";45;"qt"
7243.5;686152.01183438;"13";45;"qt"
8958.9;493124.388683351;"11";65;"bm"
6300.1;732895.866413157;"12";75;"bm"
26639.5;400837.638964756;"3";55;"ky"
17051;364412.407589093;"3";65;"bm"
8615.6;390950.410407339;"14";55;"qt"
16343.1;290463.418354639;"4";65;"qt"
14601.1;719381.720259777;"16";75;"ky"
8478.1;383666.303821468;"12";55;"bm"
8944.9;425050.901021153;"12";55;"bm"
19569;468507.608887281;"11";55;"ky"
9185.9;468122.20887559;"11";55;"bm"
25678.4;216988.908736766;"4";45;"ky"
12524.6;467387.669027788;"5";65;"bm"
9321;445732.627198278;"13";45;"qt"
10702;446470.772430404;"13";75;"bm"
8856.5;529701.78638592;"9";45;"qt"
10216.8;559796.598481595;"10";75;"bm"
13892.6;372675.153228983;"5";55;"bm"
7335;582116.722471223;"15";75;"qt"
21747.9;442993.936075155;"7";55;"ky"
22395.5;326356.339934852;"6";45;"ky"
13619;444381.986395734;"4";65;"qt"
19785.7;249482.141709545;"12";55;"ky"
19152;506060.007461108;"9";65;"ky"
8455.8;261897.506748007;"11";65;"qt"
9751.2;390825.371481329;"13";75;"qt"
8366.1;523600.837881708;"11";45;"qt"
19396.4;545891.822158199;"11";55;"ky"
21983.3;468821.304592108;"5";45;"ky"
10369.9;312197.056501491;"12";75;"bm"
5659.2;637914.826502373;"15";45;"qt"
10460.9;314690.881886606;"12";45;"bm"
9140.8;366002.831077398;"14";45;"bm"
8394.9;543878.831043522;"13";45;"qt"
19247.4;483306.375491429;"12";55;"ky"
7349.1;671553.771498486;"9";75;"qt"
8917.4;505911.928121603;"11";65;"bm"
8293.8;515197.554501222;"11";55;"qt"
10468.6;367760.656421805;"12";55;"bm"
24459.8;454295.789923424;"4";55;"ky"
21059.7;475043.265152051;"11";65;"ky"
13702.2;840513.80220294;"15";55;"ky"
6436.3;636284.150120032;"12";55;"qt"
9565.1;541706.92831371;"8";45;"bm"
10439.4;426659.878269053;"11";45;"qt"
10496.3;194330.71333829;"12";65;"bm"
7943.5;594498.849905499;"14";45;"bm"
5539.3;708122.840525694;"14";55;"bm"
8499.8;457095.649509011;"13";45;"qt"
16145.7;778941.007418632;"9";45;"ky"
8026.6;466378.855439368;"14";55;"bm"
19754;364290.426421311;"11";45;"ky"
22133.2;323081.083447748;"7";55;"ky"
8075.4;597307.475338235;"12";65;"bm"
8830.2;421900.506629029;"13";45;"bm"
17542.8;536508.627197187;"12";75;"ky"
10017.1;380920.756514876;"9";45;"bm"
8867.6;470200.335496181;"13";65;"bm"
5242.5;882829.370770296;"13";55;"bm"
8531.8;426287.547495151;"11";75;"qt"
18591.4;474941.233179473;"13";75;"ky"
17028.6;423930.076515992;"3";45;"bm"
14565.3;255940.875607213;"5";55;"qt"
17076.5;444830.722605749;"15";65;"ky"
8632.3;518341.701425155;"12";55;"bm"
11658.3;468700.725855726;"4";55;"qt"
16668.2;334847.695270414;"3";45;"bm"
11823.3;387663.746056262;"5";65;"qt"
17280.4;349769.583186888;"14";55;"ky"
18104.4;247011.075929627;"3";75;"bm"
10679.1;204336.102678928;"16";55;"qt"
8714.8;534586.405804126;"12";55;"qt"
15793.8;368112.633784542;"3";75;"qt"
11584.8;536668.397078195;"9";45;"qt"
11206.9;325816.603845391;"12";65;"bm"
6646.5;692745.109120874;"14";55;"bm"
11877.7;486111.092293785;"5";75;"qt"
11073.7;397459.642218562;"10";65;"bm"
24565.2;375235.99142144;"4";55;"ky"
8642.2;636714.709662368;"10";75;"bm"
7942.7;592441.796327417;"11";65;"bm"
20456.4;633965.997152497;"7";65;"ky"
20669.7;337764.972087116;"8";65;"ky"
19726.8;379637.16366055;"12";55;"ky"
17153.4;579998.859677615;"14";55;"ky"
8072;477244.595710556;"9";65;"qt"
8492.9;436649.057735429;"15";75;"qt"
7152.6;566430.624482778;"14";65;"bm"
24918.3;194913.845752558;"5";45;"ky"
20449;221762.060608471;"11";45;"ky"
10017.6;330658.480150039;"11";55;"qt"
19236.2;296564.208697434;"13";65;"ky"
7091.1;515575.261064674;"12";45;"bm"
11373;357205.766268197;"6";65;"bm"
8118.9;470919.556900771;"15";55;"qt"
9645.9;448557.878642295;"14";75;"qt"
9177.6;361562.166749599;"12";75;"qt"
16986.4;238690.925960015;"4";45;"qt"
28028.4;364531.253185392;"3";55;"ky"
14436.1;716754.1800296;"13";75;"ky"
8714.2;496947.575119334;"11";65;"qt"
31054.6;313361.343880312;"2";55;"ky"
24960.9;331393.024757883;"4";45;"ky"
10066.9;259365.675561457;"13";45;"qt"
8418.4;606131.277931269;"15";65;"bm"
6686.6;744883.585230771;"12";65;"bm"
16991.3;478260.077611617;"14";55;"ky"
6927.5;643679.20857854;"10";45;"bm"
20862.9;513035.130607801;"11";65;"ky"
9909.6;336174.908001269;"15";55;"bm"
16103.1;311501.151544162;"4";55;"bm"
23030.6;242164.147023765;"8";75;"ky"
19945.4;399249.883858303;"9";55;"ky"
17979.7;519459.596475327;"12";55;"ky"
26415;392056.209536727;"4";45;"ky"
4742.9;692185.363808641;"12";55;"qt"
11966.8;212348.382876205;"13";65;"bm"
8819.1;341002.826160787;"14";65;"qt"
18806.8;465030.869933284;"15";65;"ky"
25009.5;372136.978331283;"4";45;"ky"
7297.2;559174.86235212;"12";45;"bm"
10071.6;518741.584017774;"8";55;"qt"
17188.5;349561.880887405;"3";75;"bm"
8305;494953.393399403;"11";65;"qt"
11413.8;364643.89199625;"10";55;"bm"
12073.4;281551.782511276;"12";45;"qt"
13654;735043.363275757;"14";75;"ky"
10564.7;308728.8554159;"8";65;"bm"
